shortme	for2591_id	species	sex	strain	animal_id	treatment	subproject	groups	mod	repeats	bwc	rgs	tint_mouse	nesting_rat	burrowing_rat	openfield_rat	cort_plasma	cort_fec	cort_fur_hair	food	social_interaction	Sacc_pref	OF_rearing_frequency	Of_immobile_duration	OF_center_time	BWB_WB	BWB_entries_in_BB	BWB_streching	BWB_LT	EPM_stretching	EPM_head_dip	EPM_closed_arms_duration	EPM_open_arms_duration	EPM_open1_3	Adrel_glands	Creatincise	Oxytocin	BDNF	Irwin	Seizures_n	Seizures_duration	Act_d	Act_n	HR_d	HR_n	NN.I_d	NN.I_n	NNx_d	NNx_n	pNNx_d	pNNx_n	RMSSD_d	RMSSD_n	SDNN_d	SDNN_n	MPPF_hippocampus_L	MPPF_hippocampus_R	MPPF_mPFC	MPPF_septum	FDG_mPFC	FDG_septum	FDG_amygdala	FDG_striatum	FDG_hypothalamus	FDG_thalamus	FDG_parietal_cortex	FDG_hippocampus	Init.ADT	Init.SD	total.SD	Mean.SD
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 43	sham	beh	elec_beh_sham	elec	2		0		2	1429.2			9.219		15.1																			0	0																															
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 04	ive	beh	elec_beh_ive	elec	3	8.4	0		1	1932.8	7908.638	50.085	7.959	7.2225	19.3	529	93.36	54	238.64	37.24	97.48	4	9	1.36	2	29	84.68	127.36	48.36	0.05472	318.5	65.908	519.994	0	0																															
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 07	ive	beh	elec_beh_ive	elec	3	10.1	0		3	1532	6431.853		9.135	8.6535	15.3	455	94.87	28	205.32	54.08	77.44	6	8	10.92	3	23	127.68	110.32	45.92	0.06588	509.7	16.088	496.46	0	0																															
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 08	ive	beh	elec_beh_ive	elec	3	6.3	0		3	1482.1	7322.561	10.574	10.752	9.477	15.9	401	93.58	48	228.56	41.64	83.44	10	12	2.04	5	31	117	92.92	46.76	0.0606	292.3	69.933	667.9083	0	0																															
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 09	ive	beh	elec_beh_ive	elec	3	4	0		2		7274.395	19.829	2.541	9.261	14.4	470	90.99	60	226.48	215.64	129.36	6	6	9.52	2	22	156.76	65.48	24.44	0.0561	864.2	29.623	352.3808	0	0																															
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 17	ive	beh	elec_beh_ive	elec	3	6.9	0		2	1359.6	7240.691	21.372	13.314	9.369	16		94.98	26	228.4	73.96	65.16	6	14	9.28	5	19	117.96	72.12	15.44	0.06555	382.6	103.091	918.7743	0	0																															
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 25	ive	beh	elec_beh_ive	elec	3	9.3	0		3	1410.4	5883.081		13.167	10.1655	17.5	375	91.7	35	236.48	31.04	44.48	4	10	13.28	7	19	145.44	71.36	14.64	0.06002	455.9	18.214	890.4022	0	0																															
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 32	ive	beh	elec_beh_ive	elec	3	8	0		2	1945.3	7674.313	40.644	9.366	10.53	18.1	401	94.33	49	175.08	48.88	137.88	6	6	11.68	0	24	95.64	94.4	21.36	0.05825	730.1	29.173	744.9503	0	0																															
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 37	ive	beh	elec_beh_ive	elec	3	4.7	0		2	1404.3	8676.627	17.075	4.8363	9.7875	14.8	470	91.36	44	142.96	41.84	117	7	10	12.2	3	23	92.48	110.52	40.08	0.06244	270.6	125.532	501.0272	0	0																															
PostSE_electrical_behaviour	P11	rat	female	Sprague Dawley	IS 38	ive	beh	elec_beh_ive	elec	3	9.7	0		2	783.3	9962.373	2.761	10.668	8.9775	16.5	455	94.53	69	207.2	182.8	115.84	7	8	5.24	0	31	75.48	151.08	73.96	0.06385	1828.4	36.655	613.8428	0	0																															
